tgl;jumlah;harga;isian;tuan;hiasan;stiker;warna;dp;ongkir
20/04/2025;300;6000;23;s;tali;kresno;2 warna;;
25/04/2025;250;9000;34;t;kipas;kresno;campuran;;
;100;11500;;n;tali;kresno;campuran;;
;50;11500;;a;tali;kresno;campuran;;
24/04/2025;40;4500;;s;kipas;kresno;campuran;;
26/04/2025;1;4500;;f;;kresno;campuran;;
10/05/2025;50;6500;;e;paper;kresno;campuran;;
20/06/2025;250;6500;23;l;paper;kresno;2 warna;;150000
20/06/2025;150;4500;15;f;kipas;kresno;2 warna;;200000
24/06/2025;400;6500;23;e;kipas;manten;campuran;;50000
09/06/2025;1000;6500;23;a;kipas;manten;campuran;;100000
13/06/2025;1000;7500;28;l;tali;kresno;campuran;;
10/06/2025;500;6500;23;a;paper;kresno;campuran;;100000
14/06/2025;200;4500;15;d;kipas;kresno;campuran;1500000;100000
14/06/2025;700;600;23;a;;kresno;campuran;;150000
08/06/2025;1000;6500;23;d;paper;kresno;campuran;;150000
08/06/2025;25;17000;;e;paper;kresno;campuran;;
17/06/2025;250;6000;23;w;tali;kresno;campuran;;
01/06/2025;650;6500;23;l;kipas;kresno;2 warna;;100000
22/06/2025;900;6500;23;r;kipas;kresno;campuran;;
25/06/2025;700;4500;15;q;kipas;kresno;2 warna;;
08/06/2025;400;4500;15;w;kipas;kresno;campuran;;200000
25/06/2025;400;6500;23;w;paper;kresno;campuran;;50000
11/06/2025;350;6500;23;q;kipas;kresno;campuran;;50000
05/06/2025;1500;6500;23;a;paper;kresno;campuran;;
03/06/2025;300;6500;23;s;paper;kresno;campuran;;
;50;4500;15;s;kipas;kresno;2 warna;;
24/06/2025;90;11500;;a;paper;kresno;2 warna;;50000
11/06/2025;300;8500;34;q;tali;kresno;campuran;;50000
05/06/2025;120;6500;;e;paper;kresno;campuran;;
11/06/2025;400;6500;23;r;paper;kresno;campuran;;100000
30/06/2025;100;4500;;g;kipas;kresno;2 warna;;100000
21/06/2025;100;6500;23;f;paper;kresno;campuran;;
18/06/2025;500;8500;34;s;tali;kresno;campuran;;
16/06/2025;380;6500;23;x;paper;manten;campuran;;
29/06/2025;300;6500;23;v;paper;manten;campuran;;
;100;11500;;n;tali;kresno;campuran;;
05/08/2025;800;6500;23;w;paper;kresno;campuran;;100000
20/08/2025;1500;6000;23;b;tali;kresno;campuran;;
20/08/2025;200;4500;15;b;kipas;kresno;campuran;;
28/08/2025;800;4500;15;h;;kresno;campuran;;
15/08/2025;130;9000;34;a;paper;kresno;campuran;;100000
30/09/2025;500;11500;;d;tali;kresno;campuran;;
30/09/2025;500;6500;23;z;kipas;kresno;campuran;;
20/09/2025;400;6000;23;a;tali;manten;campuran;;50000
26/09/2025;860;8000;28;f;;kresno;campuran;;
20/09/2025;400;7500;28;g;tali;kresno;campuran;;200000
30/09/2025;250;9000;34;s;kipas;kresno;campuran;;
19/09/2025;500;6500;23;a;paper;kresno;campuran;;50000
13/09/2025;500;6000;23;q;tali;kresno;campuran;;
10/09/2025;100;6500;23;w;kipas;kresno;campuran;;
17/09/2025;100;6500;;r;paper;kresno;campuran;;
12/09/2025;150;6500;;h;paper;kresno;campuran;;50000
18/09/2025;100;7500;28;s;tali;kresno;campuran;;100000
21/09/2025;8500;8500;34;c;tali;kresno;campuran;;100000
30/09/2025;6500;6500;23;x;paper;kresno;campuran;;100000
19/09/2025;6000;6000;23;z;;kresno;campuran;;
05/10/2025;50;4500;15;q;kipas;kresno;campuran;;30000
13/10/2025;650;6000;23;w;tali;kresno;campuran;;100000
21/10/2025;450;6000;23;e;tali;kresno;campuran;;50000
12/10/2025;500;6500;23;r;kipas;kresno;campuran;;50000
15/10/2025;500;6500;23;a;kipas;manten;2 warna;;
15/10/2025;50;9000;34;s;kipas;manten;2 warna;;
07/10/2025;700;6500;23;g;kipas;kresno;campuran;;
10/10/2025;300;6000;23;a;tali;kresno;campuran;;150000
21/10/2025;800;6500;23;r;kipas;kresno;campuran;500000;50000
19/10/2025;500;4500;15;t;tali;kresno;campuran;;
18/10/2025;120;7500;28;w;tali;kresno;campuran;;
18/10/2025;80;4500;15;q;kipas;kresno;campuran;;
20/10/2025;100;6500;23;e;kipas;ultah;campuran;350000;50000
08/10/2025;200;6500;23;a;tali;kresno;campuran;;150000
13/10/2025;500;11500;;s;tali;kresno;campuran;;
04/10/2025;400;6000;23;q;tali;kresno;campuran;;50000
12/10/2025;200;4500;15;r;kipas;kresno;2 warna;;200000
30/10/2025;1000;6500;23;g;paper;kresno;campuran;;
11/10/2025;390;6500;23;j;paper;kresno;campuran;;50000
28/10/2025;185;4500;15;s;paper;kresno;2 warna;;50000
04/10/2025;120;6500;23;c;paper;kresno;campuran;;
08/10/2025;60;4500;15;f;paper;kresno;campuran;;
17/10/2025;40;6500;23;z;paper;kresno;2 warna;;
30/10/2025;70;8500;34;a;tali;kresno;campuran;;
20/10/2025;150;4000;15;s;tali;kresno;campuran;;
;500;8500;34;a;tali;kresno;campuran;;
04/11/2025;300;6500;23;a;paper;kresno;campuran;;150000
05/11/2025;200;4500;15;s;kipas;kresno;campuran;;150000
22/11/2025;500;4500;15;d;kipas;kresno;2 warna;;
13/11/2025;250;4500;15;q;kipas;kresno;2 warna;;50000
11/11/2025;500;6500;23;w;kipas;manten;campuran;;
20/11/2025;750;7500;28;r;tali;kresno;campuran;;
17/11/2025;300;7500;28;y;tali;kresno;campuran;;100000
05/11/2025;80;8500;34;s;;kresno;campuran;;
24/11/2019;700;6000;23;d;tali;kresno;campuran;;
19/11/2025;200;6500;23;w;paper;kresno;campuran;;50000
19/11/2025;10;17000;;a;paper;kresno;campuran;;
26/11/2025;300;4500;15;d;kipas;kresno;2 warna;;50000
24/11/2025;100;8500;34;f;tali;kresno;campuran;;
31/12/2025;40;6500;;;kipas;kresno;campuran;;50000
31/12/2025;75;4500;;;kipas;kresno;campuran;;
27/12/2025;200;8500;34;;tali;kresno;campuran;;
27/12/2025;50;6000;;;tali;kresno;campuran;;
;50;6000;;;tali;kresno;campuran;;
;15;7000;;;;kresno;campuran;;
18/12/2025;135;5000;;;;kresno;campuran;;
25/12/2025;50;6500;;;paper;kresno;campuran;;
25/12/2025;300;4500;;;paper;kresno;campuran;;150000
26/12/2025;550;6500;;;kipas;kresno;campuran;;200000
30/12/2025;500;4500;;;kipas;kresno;campuran;;
05/12/2025;500;6000;;;tali;kresno;campuran;;50000
25/12/2025;800;6000;;;tali;kresno;campuran;;
28/12/2025;200;6500;28;;paper;kresno;campuran;;
28/12/2025;600;8000;28;;paper;kresno;campuran;;
20/12/2025;150;6500;28;;kipas;kresno;campuran;;50000
08/12/2025;200;6500;28;;kipas;manten;2 warna;;100000
08/12/2025;100;7500;28;;tali;manten;2 warna;;
14/12/2025;1500;6500;28;;kipas;manten;2 warna;;
10/12/2025;650;7500;28;;tali;kresno;campuran;;100000
26/12/2025;1800;9000;35;;kipas;kresno;campuran;;
06/12/2025;500;4500;;;kipas;kresno;campuran;;50000
14/12/2025;325;6000;;;tali;kresno;campuran;;200000
25/12/2025;400;6500;;;paper;kresno;campuran;;
14/12/2025;600;6500;;;paper;kresno;campuran;;
15/12/2025;800;6000;;;tali;kresno;campuran;;
06/12/2025;100;6500;;;paper;kresno;campuran;;
29/12/2025;125;9000;35;;paper;kresno;campuran;;50000
